,day,price,link
0,Dec 19,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7569789857.html?lang=en&cc=us
1,Dec 19,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7569789805.html?lang=en&cc=us
2,Dec 19,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7569789789.html?lang=en&cc=us
3,Dec 19,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7569787474.html?lang=en&cc=us
4,Dec 19,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7569787436.html?lang=en&cc=us
5,Dec 19,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7569786611.html?lang=en&cc=us
6,Dec 19,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7569786542.html?lang=en&cc=us
7,Dec 19,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7569785509.html?lang=en&cc=us
8,Dec 19,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7569779683.html?lang=en&cc=us
9,Dec 19,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7569777339.html?lang=en&cc=us
10,Dec 19,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7569777280.html?lang=en&cc=us
11,Dec 17,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7569186487.html?lang=en&cc=us
12,Dec 17,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-dpn-tower-3br/7569186369.html?lang=en&cc=us
13,Dec 17,₫470,https://vietnam.craigslist.org/apa/d/nice-apartment-for-lease-in-dpn/7569184213.html?lang=en&cc=us
14,Dec 17,₫700,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-imperia-tower-2br/7569183159.html?lang=en&cc=us
15,Dec 17,₫700,https://vietnam.craigslist.org/apa/d/nice-apartment-for-rent-on-bmc-building/7569180804.html?lang=en&cc=us
16,Dec 17,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7569178117.html?lang=en&cc=us
17,Dec 17,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-bmc-tower-2br/7569178149.html?lang=en&cc=us
18,Dec 17,₫750,https://vietnam.craigslist.org/apa/d/luxury-apartment-for-rent-on-saigon/7569177170.html?lang=en&cc=us
19,Dec 17,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-orient-building/7569177059.html?lang=en&cc=us
20,Dec 17,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7569172266.html?lang=en&cc=us
21,Dec 17,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7569168795.html?lang=en&cc=us
22,Dec 15,₫470,https://vietnam.craigslist.org/apa/d/phuc-thinh-building-apartment-for-rent/7568471632.html?lang=en&cc=us
23,Dec 15,₫550,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-central-garden/7568470900.html?lang=en&cc=us
24,Dec 15,₫600,https://vietnam.craigslist.org/apa/d/apartment-for-rent-on-saigon-land/7568469340.html?lang=en&cc=us
25,Dec 15,₫500,https://vietnam.craigslist.org/apa/d/copac-square-building-nice-apartment/7568467439.html?lang=en&cc=us
